"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source"
"Shaikh M.S.; Dong X.; Zheng G.; Wang C.; Lin Y.","Shaikh, Muhammad Suhail (57208211150); Dong, Xiaoqing (57192207651); Zheng, Gengzhong (36024783800); Wang, Chang (58607532100); Lin, Yifan (58128236000)","57208211150; 57192207651; 36024783800; 58607532100; 58128236000","An Improved Expeditious Meta-Heuristic Clustering Method for Classifying Student Psychological Issues with Homogeneous Characteristics","2024","Mathematics","12","11","1620","","","","0","10.3390/math12111620","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195964719&doi=10.3390%2fmath12111620&partnerID=40&md5=ad5f94cf42c7f731b042bf50f39dfa2e","Nowadays, cluster analyses are widely used in mental health research to categorize student stress levels. However, conventional clustering methods experience challenges with large datasets and complex issues, such as converging to local optima and sensitivity to initial random states. To address these limitations, this research work introduces an Improved Grey Wolf Clustering Algorithm (iGWCA). This improved approach aims to adjust the convergence rate and mitigate the risk of being trapped in local optima. The iGWCA algorithm provides a balanced technique for exploration and exploitation phases, alongside a local search mechanism around the optimal solution. To assess its efficiency, the proposed algorithm is verified on two different datasets. The dataset-I comprises 1100 individuals obtained from the Kaggle database, while dataset-II is based on 824 individuals obtained from the Mendeley database. The results demonstrate the competence of iGWCA in classifying student stress levels. The algorithm outperforms other methods in terms of lower intra-cluster distances, obtaining a reduction rate of 1.48% compared to Grey Wolf Optimization (GWO), 8.69% compared to Mayfly Optimization (MOA), 8.45% compared to the Firefly Algorithm (FFO), 2.45% Particle Swarm Optimization (PSO), 3.65%, Hybrid Sine Cosine with Cuckoo search (HSCCS), 8.20%, Hybrid Firefly and Genetic Algorithm (FAGA) and 8.68% Gravitational Search Algorithm (GSA). This demonstrates the effectiveness of the proposed algorithm in minimizing intra-cluster distances, making it a better choice for student stress classification. This research contributes to the advancement of understanding and managing student well-being within academic communities by providing a robust tool for stress level classification. © 2024 by the authors.","Article","Final","All Open Access; Gold Open Access","Scopus"
"Menardo E.; Brondino M.; Damian O.; Lezcano M.; Marossi C.; Pasini M.","Menardo, Elisa (57090842500); Brondino, Margherita (54782226900); Damian, Ottavia (59238316400); Lezcano, Marco (59238013500); Marossi, Camilla (58623055800); Pasini, Margherita (7004656365)","57090842500; 54782226900; 59238316400; 59238013500; 58623055800; 7004656365","Students’ perceived restorativeness of university environment: the validation of the Rest@U scale","2024","Frontiers in Psychology","15","","1348483","","","","0","10.3389/fpsyg.2024.1348483","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199888725&doi=10.3389%2ffpsyg.2024.1348483&partnerID=40&md5=0d4726d02ac75e8ffdb65a51659fc365","University students are likely to encounter mental health issues throughout their educational journey. Among the various factors that can impact students’ wellbeing, the physical environment can potentially restore cognitive, physiological, and emotional resources, thereby enhancing academic performance, and overall quality of life, while reducing feelings of stress and depression. The Perceived Restorativeness Scale is the most commonly used tool to assess the level of restorativeness derived from the educational physical environment. However, a tailored measure could be a more psychometrically suitable approach to capture the context-specific characteristics of university environments for academic students. This study aimed to validate an instrument that can accurately evaluate university spaces to measure the perceived restorativeness of university students. A total sample of 685 students from two Italian universities participated in the evaluation of the psychometric properties of the Restorativeness at University scale (Rest@US), consisting of 13 items divided into four dimensions: fascination, being-away, scope, and coherence. The hypothesised four-factor model (being-away, fascination, scope, and coherence) demonstrated excellent fit indices in both the calibration and validation samples and was invariant for sex. The scale demonstrates good reliability. Furthermore, criterion validity has been confirmed, highlighting that, in a theoretically consistent manner, the perceived restorativeness of university physical environments from the point of view of students and its dimensions were negatively correlated with techno-overload and study-related workload and positively correlated with perceived performance and psycho-physical wellbeing. Copyright © 2024 Menardo, Brondino, Damian, Lezcano, Marossi and Pasini.","Article","Final","All Open Access; Gold Open Access","Scopus"
"Lalin S.A.A.; Ahmed M.N.Q.; Haq S.M.A.","Lalin, Shamim Al Aziz (58096184400); Ahmed, Mufti Nadimul Quamar (57196470745); Haq, Shah Md Atiqul (57203862345)","58096184400; 57196470745; 57203862345","The effects of the COVID-19 pandemic on students' academic performance and mental health: An overview","2024","Regional Science Policy and Practice","16","7","100046","","","","0","10.1016/j.rspp.2024.100046","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190797940&doi=10.1016%2fj.rspp.2024.100046&partnerID=40&md5=3cd33a161ee6fc396dcf1d49bf5d6e3f","COVID-19 had repercussions in many fields, including education. Although society worldwide was affected, students and the academic sector were hit hardest. Distance learning was used by almost all governments globally during the pandemic to keep education going when schools were closed. Lockdown, maintaining social distance, online classes, financial insecurity of the parents, etc., have tremendous impacts on students’ academic performance and mental health. The primary aim of this article is to review the existing literature to explore how COVID-19 affects students’ academic performance and poses a threat to their mental health. We reviewed 88 articles published between 2020 and 2023 and found that students from low-income backgrounds face disproportionate educational barriers. Converting from face-to-face to online classes was not equally smooth for students from all backgrounds. We also found that various life circumstances negatively affected students' mental health, including concerns about contracting a disease, financial difficulties, isolation from peers, the death of a parent, and the transition to online education. Worry, despair, and stress have all reached potentially lethal heights due to COVID-19 among students. Geographical disparities in the impacts of COVID-19 were seen, with certain nations seeing a greater degree of influence, particularly in the realm of education. We urge the stakeholders and policymakers to better prepare for and manage this type of crisis in the future. We also suggest that teachers, parents, and policymakers enhance students' virtual communication effectiveness while acquiring new knowledge and implementing more systematic approaches to fostering students' cognitive growth. © 2024 The Authors","Article","Final","","Scopus"
"Betancourt-Núñez A.; Díaz R.; Nava-Amante P.A.; Bernal-Orozco M.F.; Díaz-López A.; González Palacios A.; Márquez-Sandoval F.; Velarde-Camaqui D.; Vizmanos B.","Betancourt-Núñez, Alejandra (57203743158); Díaz, Rosa (58241811600); Nava-Amante, Pablo Alejandro (57274946100); Bernal-Orozco, María Fernanda (36571401900); Díaz-López, Andrés (55195487000); González Palacios, Aaron (57462641700); Márquez-Sandoval, Fabiola (56013570100); Velarde-Camaqui, Davis (58939709000); Vizmanos, Barbara (59305436000)","57203743158; 58241811600; 57274946100; 36571401900; 55195487000; 57462641700; 56013570100; 58939709000; 59305436000","Beyond the Classroom: The Influence of Food Insecurity, Mental Health, and Sleep Quality on University Students’ Academic Performance","2024","Foods","13","16","2508","","","","0","10.3390/foods13162508","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202612494&doi=10.3390%2ffoods13162508&partnerID=40&md5=a865e5185615118c435f976f318813f5","We aimed to analyze the association between food insecurity (FI) and academic performance in university students, including mental health and sleep quality (SQ), in an association model. A cross-sectional design included university students (n = 466, 72.5% women) from Mexico. We applied the Latin American and Caribbean Food Security Scale, the Depression Anxiety and Stress Scale (DASS-21), and the Pittsburgh Sleep Quality Index. Students self-reported their academic grading (AG) and perceptions about their academic performance. Spearman’s rho and multiple logistic regression models were used. Almost half (47%) experienced some level of FI. The median AG was 95. AG was not significantly (p > 0.05) correlated with FI, nor with depression, anxiety, stress, and SQ. Considering mental health and SQ, moderate/severe FI remained significantly associated with perceived overall progress in college (OR: 2.96; 95%CI: 1.49, 5.88) and attendance to classes (OR:3.14; 95%CI: 1.19, 8.28) as poor or regular, and it was positively related to perceiving difficulties in completing their studies (OR:2.75; 95%CI: 1.43, 5.29). Stress, anxiety, depression symptoms, and poor SQ were also significantly associated with poor/regular perception of academic performance. These findings highlight the need to address psychological and nutritional factors in university students to promote their well-being and academic success. © 2024 by the authors.","Article","Final","All Open Access; Gold Open Access","Scopus"
"","","","8th International Conference on Smart Trends in Computing and Communications, SmartCom 2024","2024","Lecture Notes in Networks and Systems","947 LNNS","","","","","516","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196750368&partnerID=40&md5=7bdc77fcdc8c75f21859d8b929cbfc81","The proceedings contain 41 papers. The special focus in this conference is on Smart Trends in Computing and Communications. The topics include: Artificial Neural Network-Based Forecasting to Anticipate the Indian Stock Market; a Framework for Real-Time Crowd Behaviour Monitoring System Based on Human Activity Recognition in Surveillance Videos; STM32-Based Home Automation and Energy Monitoring System with TFT Display; smart Rover for Farm Pesticide Spraying; emergency Alert and Adaptive Traffic Signal System Using Machine Learning; design of a Chatbot for Relieving Academic Stress in Adolescent Students; mental Health Predictive Analysis Using Machine-Learning Techniques; crime Prediction and Prevention Using Design Intervention and Artificial Intelligence; Enhancing Dysarthria Detection: Harnessing Ensemble Models and MFCC; a Deep Learning Approach for Evaluating Children's Handwriting; detection of Online Fake Review Using Deep Learning; deep Learning-Based Object Detection, Face Recognition, and Tracking Support Model for Visually Challenged; wi-Fi Inter-Network Simulation and Performance Analysis Using QualNet; Location-Based QR Attendance Application; Optimizing Endurance in Fixed Wing UAVs; storyWood—Story and Post Maker Application; a Survey on Imparting Education Using Augmented Reality; secure Access Firearm; facial Expression Recognition Using Convolutional Neural Network; attitude Control of Satellites with Reaction Wheels and Its Formation Keeping; crowd Density Estimation for Video Surveillance Using Deep Learning: A Review; a Synergistic Integration of IoT, Machine Learning, and Flutter Technology for Precise Crop Management; a Review on Suspicious Behavior Detection at Heritage Sites Using Quantum Enhanced Deep Learning; Integrating Conversational AI and Machine Learning in Education; player Performance Analysis; a Collaborative Coding Platform for Both College Students and Teachers.","Conference review","Final","","Scopus"
"Johansen V.; Røsand I.","Johansen, Vegard (36069343100); Røsand, Ingvild (58671257600)","36069343100; 58671257600","A cross-sectional study of variations in schoolwork stress in academic upper secondary school classes in Mid-Norway","2024","Scandinavian Journal of Public Health","","","","","","","0","10.1177/14034948241242939","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190406611&doi=10.1177%2f14034948241242939&partnerID=40&md5=f9ff7387fc1472421f63212c169f0569","Aims: This paper investigates stress related to schoolwork among students in academic upper secondary schools. The research questions asked are: 1. To what degree does students’ schoolwork stress vary between academic classes?; And 2. are perceptions of classroom goal orientation, academic achievement, sex and parental education related to schoolwork stress? Methods: A cross-sectional survey was done in the final year of upper secondary school in 71 school classes from 13 schools. A total of 1955 students in academic education programs were invited to participate in the survey, and 1511 completed the survey; the response rate was 77%. The outcome measure was a composite measure of schoolwork stress (alpha = 0.81). Multilevel modeling was used to estimate school class-level effects. Results: The mean value of schoolwork stress was 4.0, on a scale of 1 (very little schoolwork stress) to 6 (very high schoolwork stress). About half of the students reported a score of 4 or higher. The analysis showed that individual characteristics explained most of the variation in schoolwork stress. Girls experienced a much higher level of schoolwork stress than boys (mean values of 4.3 and 3.6, respectively). There was also a significant class-level effect, estimated to 6% of the variance. Students’ perceptions of classroom goal orientation was also associated with schoolwork stress. Conclusions: The main contribution was the discovery of significant variations in schoolwork stress between school classes. We also found that higher mastery climate was linked to lower schoolwork stress, whereas higher performance climate was linked to higher schoolwork stress. © Author(s) 2024.","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus"
"Mohd Amin N.A.F.; Ismail T.N.N.T.; Ponnuraj K.T.; Shahidan W.N.S.","Mohd Amin, Nur Amisha Farhana (58891600500); Ismail, Tuan Nadrah Naim Tuan (57200616599); Ponnuraj, Kannan Thirumulu (8275952200); Shahidan, Wan Nazatul Shima (57204354603)","58891600500; 57200616599; 8275952200; 57204354603","Psychosocial Impact of Smartphone Addiction among University Student: A Review","2024","Malaysian Journal of Medicine and Health Sciences","20","1","","343","358","15","0","10.47836/mjmhs.20.1.42","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185273550&doi=10.47836%2fmjmhs.20.1.42&partnerID=40&md5=6d5c7808ae3232a54fbaf9ef5f39da00","The prevalence of smartphone addiction among university students has raised concerns about its potential implications on their mental health, academic performance, and interpersonal relationships. This review aims to address the existing gap in the literature and shed light on the psychosocial impact of smartphone addiction in this crucial phase of young adults’ lives. A systematic approach was employed to identify and analyse relevant studies from reputable databases. The selection criteria encompassed studies published between January 2009 and December 2022, in university students. The review synthesises findings from 32 selected studies to present a comprehensive analysis of the psychosocial impacts of smartphone addiction. The results indicated significant associations between excessive smartphone use and adverse mental health outcomes, including increased levels of anxiety, depression, and stress among university students. Furthermore, smartphone addiction negatively influences academic performance, decreasing face-to-face communication and social isolation. © 2024 Universiti Putra Malaysia Press. All rights reserved.","Review","Final","All Open Access; Bronze Open Access","Scopus"
"Ambe B.A.; Amalu M.N.; Bekomson A.N.; Arikpo E.B.; Agbor C.E.; Etan M.O.; Ofie M.S.; Abanyam V.A.; Olabisi B.C.; Praise I.M.; Ojong A.A.","Ambe, Benjamin Ayua (57250821200); Amalu, Melvina Nkemdillim (58287090800); Bekomson, Achi Ndifon (58287090900); Arikpo, Esther Bassey (58524368900); Agbor, Cassidy Etta (58313381000); Etan, Michael Obun (58312983600); Ofie, Maria Sunday (57226188355); Abanyam, Victoria Attah (59214602700); Olabisi, Bella Charles (59214892700); Praise, Isogon Mercy (59214602800); Ojong, Aganyi Asu (58312583900)","57250821200; 58287090800; 58287090900; 58524368900; 58313381000; 58312983600; 57226188355; 59214602700; 59214892700; 59214602800; 58312583900","Impact of Familial and Social Stressors on University Students' Learning Outcomes, Satisfaction, and Academic Achievements","2024","International Journal of Humanities Education","22","2","","61","84","23","0","10.18848/2327-0063/CGP/v22i02/61-84","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198241612&doi=10.18848%2f2327-0063%2fCGP%2fv22i02%2f61-84&partnerID=40&md5=09d907cc7f89e03ae3c6707cceab0b7a","This study investigated the impact of social and familial stressors on the academic performance of Nigerian university students. Using a cross-sectional survey design, a sample of 1,200 third-and fourth-year students from twenty-four universities across Nigeria was selected through a multistage sampling procedure. Contrary to peer pressure, family expectations, financial constraints, and cultural norms significantly influenced students' academics and overall well-being. The study highlighted social interactions and societal pressures contributing to overall stress levels. Coping mechanisms included relaxation techniques and seeking support from friends, while exercise, professional advice, or counseling were less utilized. Binary logistic regression showed no significant associations between coping mechanisms, gender, age groups, and academic achievement. Gender did not significantly influence stressor prevalence. The study identified significant variations in familial and social stressors across different age groups among Nigerian university students. These findings provide insights into student challenges, informing strategies for enhanced well-being and academic success. Recommendations include raising awareness about family expectations, providing financial literacy education, promoting cultural sensitivity, and offering mental health support. The study emphasizes gender-neutral services, longitudinal research, peer mentoring programs, and institutional collaboration to address the multifaceted challenges faced by Nigerian students. © 2024 Common Ground Research Networks. All rights reserved.","Article","Final","","Scopus"
"Ashraf N.; Arabi T.Z.; Dabaliz A.; Abou Shaar B.; Baqal O.J.; Taha R.M.; Baqal E.J.; Alkodaymi M.S.; Obeidat A.; Ouban A.","Ashraf, Nader (59244143300); Arabi, Tarek Ziad (57742998300); Dabaliz, Alhomam (59244143400); Abou Shaar, Bader (57322746800); Baqal, Omar Javed (57197783605); Taha, Rand Mohammad (57539407800); Baqal, Eman Javed (58927666400); Alkodaymi, Mohamad Salim (57196003255); Obeidat, Akef (55656174300); Ouban, Abderrahman (6505971626)","59244143300; 57742998300; 59244143400; 57322746800; 57197783605; 57539407800; 58927666400; 57196003255; 55656174300; 6505971626","Assessing the prevalence of generalized anxiety disorder in a multicultural medical education setting in Saudi Arabia during the COVID-19 pandemic","2024","Frontiers in Psychiatry","15","","1359348","","","","0","10.3389/fpsyt.2024.1359348","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200239357&doi=10.3389%2ffpsyt.2024.1359348&partnerID=40&md5=f6745454c32e0b8a9f7ab6213b9d0c22","Introduction: Mental health among medical students is an area that has been increasingly garnering world-wide attention. Yet, despite this increased attention, research related to anxiety disorders in Saudi Arabia remain limited. This study aims to address this gap by assessing the prevalence of generalized anxiety disorder (GAD) as well as explore its association with students’ sociodemographic factors and academic performance among medical students in a Saudi Arabian institute that has a diverse, multicultural student body. Methods: The study takes place in a unique educational environment: a privately funded institute in Riyadh, the capital of Saudi Arabia, with 32% of its student body comprising international students from over 40 countries, during the COVID-19 pandemic. The study deploys the use of a survey that was sent to the students at this institute via their institutional emails. A survey containing 33 items assessing demographics, GAD using GAD-7 questionnaire, stress-relief measures, online learning experience during the pandemic, mental disorders, anxiety associated with the pandemic, two open-ended questions, and one item assessing sleep difficulty. Results: The results of the survey showed that a significant majority of the responders’ scores in the GAD-7 assessment were in the range of moderate to severe anxiety. The results also suggest that low cGPA and the first academic years are significantly associated with higher GAD-7 scores. Students found severe time constraints, difficult educational content, and lack of psychological support to be major sources of stress. Furthermore, students suggested providing an in-house psychologist, personalized feedback, and guidance on study tactics as methods to reduce anxiety. Conclusion: These findings, among others, suggest a need for further studies and research in this field to uncover broader patterns and inform targeted mental health support strategies. Copyright © 2024 Ashraf, Arabi, Dabaliz, Abou Shaar, Baqal, Taha, Baqal, Alkodaymi, Obeidat and Ouban.","Article","Final","All Open Access; Gold Open Access","Scopus"
"Kim H.; Son Y.; Lee H.; Kang J.; Hammoodi A.; Choi Y.; Kim H.J.; Lee H.; Fond G.; Boyer L.; Kwon R.; Woo S.; Yon D.K.","Kim, Hyejun (58786540500); Son, Yejun (59002076600); Lee, Hojae (58403500500); Kang, Jiseung (57216638349); Hammoodi, Ahmed (59133001800); Choi, Yujin (58510908000); Kim, Hyeon Jin (58065396200); Lee, Hayeon (58288501400); Fond, Guillaume (57192192554); Boyer, Laurent (8951031500); Kwon, Rosie (58018452900); Woo, Selin (58830074500); Yon, Dong Keon (57193675906)","58786540500; 59002076600; 58403500500; 57216638349; 59133001800; 58510908000; 58065396200; 58288501400; 57192192554; 8951031500; 58018452900; 58830074500; 57193675906","Machine Learning-Based Prediction of Suicidal Thinking in Adolescents by Derivation and Validation in 3 Independent Worldwide Cohorts: Algorithm Development and Validation Study","2024","Journal of Medical Internet Research","26","1","e55913","","","","0","10.2196/55913","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193461052&doi=10.2196%2f55913&partnerID=40&md5=c5a8d73966211aecaa5fa0e58d819f14","Background: Suicide is the second-leading cause of death among adolescents and is associated with clusters of suicides. Despite numerous studies on this preventable cause of death, the focus has primarily been on single nations and traditional statistical methods. Objective: This study aims to develop a predictive model for adolescent suicidal thinking using multinational data sets and machine learning (ML). Methods: We used data from the Korea Youth Risk Behavior Web-based Survey with 566, 875 adolescents aged between 13 and 18 years and conducted external validation using the Youth Risk Behavior Survey with 103, 874 adolescents and Norway's University National General Survey with 19, 574 adolescents. Several tree-based ML models were developed, and feature importance and Shapley additive explanations values were analyzed to identify risk factors for adolescent suicidal thinking. Results: When trained on the Korea Youth Risk Behavior Web-based Survey data from South Korea with a 95% CI, the XGBoost model reported an area under the receiver operating characteristic (AUROC) curve of 90.06% (95% CI 89.97-90.16), displaying superior performance compared to other models. For external validation using the Youth Risk Behavior Survey data from the United States and the University National General Survey from Norway, the XGBoost model achieved AUROCs of 83.09% and 81.27%, respectively. Across all data sets, XGBoost consistently outperformed the other models with the highest AUROC score, and was selected as the optimal model. In terms of predictors of suicidal thinking, feelings of sadness and despair were the most influential, accounting for 57.4% of the impact, followed by stress status at 19.8%. This was followed by age (5.7%), household income (4%), academic achievement (3.4%), sex (2.1%), and others, which contributed less than 2% each. Conclusions: This study used ML by integrating diverse data sets from 3 countries to address adolescent suicide. The findings highlight the important role of emotional health indicators in predicting suicidal thinking among adolescents. Specifically, sadness and despair were identified as the most significant predictors, followed by stressful conditions and age. These findings emphasize the critical need for early diagnosis and prevention of mental health issues during adolescence. © Hyejun Kim, Yejun Son, Hojae Lee, Jiseung Kang, Ahmed Hammoodi, Yujin Choi, Hyeon Jin Kim, Hayeon Lee, Guillaume Fond, Laurent Boyer, Rosie Kwon, Selin Woo, Dong Keon Yon.","Article","Final","All Open Access; Gold Open Access","Scopus"
"Kulandaiammal R.; Hebert H.S.; Alafia J.; Neelakantan M.","Kulandaiammal, Rosy (59136012900); Hebert, Hesi S. (59136292500); Alafia, J. (59135741100); Neelakantan, Meera (57482519900)","59136012900; 59136292500; 59135741100; 57482519900","Mindfulness-based strengths practice: a conceptual framework and empirical review of the literature","2024","International Journal of Mental Health","","","","","","","0","10.1080/00207411.2024.2348763","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193706652&doi=10.1080%2f00207411.2024.2348763&partnerID=40&md5=0ad2bf42f99a47cce5625c0b2fd80986","This review set out to provide empirical literature on mindfulness-based strengths practice (MBSP), a new approach in positive psychology that integrates mindfulness with character strengths, two positive predictors of well-being. First, the conceptualization of integrating character strengths and mindfulness into MBSP is discussed. The literature on the interrelatedness of character strengths and mindfulness is then described, along with ways that the intervention of MBSP encourages positive outcomes at various levels. The literature search returned 7 (10 samples, N = 3,851) studies supporting a positive association between character strengths and mindfulness (r = 0.3–0.4) and the mediating role of character strengths/virtues in mindfulness and mindfulness’s role in enhancing character strengths toward psychological well-being. The nine MBSP intervention studies (9 samples, N = 354) conducted in diverse contexts provide evidence of a significant improvement in well-being, engagement, life satisfaction, mindfulness, positive affect, character strengths, work-related outcomes, heightened birthing parents’ well-being during pregnancy and childbirth, increased academic performance, and enhanced mental health among students. The intervention studies also reported the fostering of mindful positive parenting and contributions to a significant reduction in negative psychological states, such as stress, depression, anxiety, and negative affect. This comprehensive review provides empirical support for the MBSP framework and its positive impact on well-being across various domains, including organizations, education, healthcare, and family. However, it underscores the need for more extensive research, as the current literature on MBSP is limited. The review encourages future studies to explore MBSP applications in diverse domains, thereby paving the way for a deeper understanding of its potential benefits. © 2024 Taylor & Francis Group, LLC.","Article","Article in press","","Scopus"
"Rahman M.A.; Kohli T.","Rahman, Muhammad Azizur (55457982100); Kohli, Tripti (59164321200)","55457982100; 59164321200","Mental health analysis of international students using machine learning techniques","2024","PLoS ONE","19","6 June","e0304132","","","","0","10.1371/journal.pone.0304132","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195439088&doi=10.1371%2fjournal.pone.0304132&partnerID=40&md5=cb6aef731e61f1322f69ef940b12df7a","International students' mental health has become an increasing concern in recent years, as more students leave their country for better education. They experience a wide range of challenges while studying abroad that have an impact on their psychological well-being. These challenges can include language obstacles, cultural differences, homesickness, financial issues and other elements that could severely impact the mental health of international students. Given the limited research on the demographic, cultural, and psychosocial variables that influence international students' mental health, and the scarcity of studies on the use of machine learning algorithms in this area, this study aimed to analyse data to understand the demographic, cultural factors, and psychosocial factors that impact mental health of international students. Additionally, this paper aimed to build a machine learningbased model for predicting depression among international students in the United Kingdom. This study utilized both primary data gathered through an online survey questionnaire targeted at international students and secondary data was sourced from the 'A Dataset of Students' Mental Health and Help-Seeking Behaviors in a Multicultural Environment,' focusing exclusively on international student data within this dataset. We conducted data analysis on the primary data and constructed models using the secondary data for predicting depression among international students. The secondary dataset is divided into training (70%) and testing (30%) sets for analysis, employing four machine learning models: Logistic Regression, Decision Tree, Random Forest, and K Nearest Neighbor. To assess each algorithm's performance, we considered metrics such as Accuracy, Sensitivity, Specificity, Precision and AU-ROC curve. This study identifies significant demographic variables (e.g., loan status, gender, age, marital status) and psychosocial factors (financial difficulties, academic stress, homesickness, loneliness) contributing to international students' mental health. Among the machine learning models, the Random Forest model demonstrated the highest accuracy, achieving an 80% accuracy rate in predicting depression.  © 2024 Rahman, Kohli. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","Article","Final","All Open Access; Gold Open Access","Scopus"
"Schmidt L.I.; Baetzner A.S.; Dreisbusch M.I.; Mertens A.; Sieverding M.","Schmidt, Laura I. (57196894828); Baetzner, Anke S. (58028825300); Dreisbusch, Marina I. (58652013700); Mertens, Alica (57211915555); Sieverding, Monika (13004431400)","57196894828; 58028825300; 58652013700; 57211915555; 13004431400","Postponing sleep after a stressful day: Patterns of stress, bedtime procrastination, and sleep outcomes in a daily diary approach","2024","Stress and Health","40","3","e3330","","","","2","10.1002/smi.3330","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174269454&doi=10.1002%2fsmi.3330&partnerID=40&md5=701c88c87d7bbb96f7a3545a66ed433c","Sleep problems and stress are common among students and are associated with negative effects on academic performance as well as mental and physical health risks, but studies exploring mediating factors between stress and sleep on a daily basis are scarce. This study aimed to investigate the relationship of daily stress, Bedtime procrastination (BP) (i.e., postponing bedtime without external reasons), and sleep outcomes controlling for trait factors such as self-control. N = 96 students at a German university (M = 22.2 years, SD = 4.0) wore a sleep-tracking wearable (Fitbit Charge HR) for two weeks to assess sleep duration and to calculate the gap between the intended time to go to sleep and the objectively measured time of falling asleep. Stress, intended time to go to sleep, and sleep quality were assessed via daily diaries. Established questionnaires were used to measure trait self-control, trait BP, and smartphone addiction. Multilevel analyses indicated that more stress experienced during the day was associated with more BP (b = 2.32, p = 0.008), shorter sleep duration (b = −3.46, p = 0.003), and lower sleep quality (b = 1.03, p = 0.005) after controlling for several trait factors. The association of daily stress with sleep outcomes (quality and duration) was partly mediated by BP. Our findings indicate that BP might be one factor that contributes to stress-linked decreases in sleep duration and quality. Potential reasons for stress-related later time to fall asleep—like higher physiological arousal or stress-related worries—should be investigated in future studies. © 2023 The Authors. Stress and Health published by John Wiley & Sons Ltd.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus"
"Becerra M.B.; Gumasana R.J.; Mitchell J.A.; Sami S.; Truong J.B.; Becerra B.J.","Becerra, Monideepa B. (56450393000); Gumasana, Rushil J. (57723620800); Mitchell, Jasmine A. (57722680800); Sami, Saba (58488657300); Truong, Jeffrey Bao (56404420300); Becerra, Benjamin J. (56451055700)","56450393000; 57723620800; 57722680800; 58488657300; 56404420300; 56451055700","Triple Jeopardy of Minority Status, Social Stressors, and Health Disparities on Academic Performance of College Students","2023","International Journal of Environmental Research and Public Health","20","13","6243","","","","0","10.3390/ijerph20136243","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164843982&doi=10.3390%2fijerph20136243&partnerID=40&md5=f04b66e0ba03f0738cd31bc07b2bf631","Objective: In this study, we evaluated the role of minority status, as well as pandemic-related social stressors and health disparities on short- and long-term academic performances of college students. Methods: Cross-sectional analysis using descriptive and bivariate statistics were used to identify participants of minority status as well as pandemic-related prevalence of social stressors and health disparities and their roles on academic performance. Results: Poor academic performance was significantly related to being food insecure, experiences of discrimination, serious psychological distress, and low daytime wakefulness during the pandemic but only significantly based on minority status. Grade point average was significantly associated with serious psychological problems among males, independent of race/ethnicity identity. Conclusions: Institutes of higher education, when tasked with developing post-pandemic policies to address equity gaps in academic success, may benefit their students by integrating system-wide holistic approach to support, including interventions on basic needs support and health and resilience building. © 2023 by the authors.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus"
"Kurt A.","Kurt, Ali (58532646600)","58532646600","From digital obsession to digital burnout in second language acquisition","2023","Perspectives on Digital Burnout in Second Language Acquisition","","","","1","25","24","0","10.4018/978-1-6684-9246-8.ch001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177611970&doi=10.4018%2f978-1-6684-9246-8.ch001&partnerID=40&md5=73b63fb655b272c3f95fe745f07c3ac1","The COVID-19 pandemic caused an augmented reliance on technology for second language acquisition (SLA). Although digital technologies have proven beneficial in language learning, their excessive use has led to digital burnout among students. This systematic review analyzes the existing research regarding digital burnout in SLA, exploring symptoms, consequences, and coping strategies. Digital burnout has various symptoms, such as decreased motivation and performance, mental fatigue, and physical health problems. Some of the bad effects are low linguistic development, diminished engagement, and negative emotional responses. The review also suggests strategies to avoid digital burnout, such as establishing sound study plans, prioritizing self-care, and establishing clear boundaries between academic and personal physical areas. As a reverse trend, simplicity in SLA with more realtime learning and balanced digitalization should be encouraged, as it brings focus, clarity, and less stress to our lives, creating more time and freedom for personal pursuits and promoting self-sustainability. © 2023, IGI Global.","Book chapter","Final","","Scopus"
